Gene	P-val	FDR	Log2fc	Mean	Order in heatmap supp. fig 6S(left)	Order in heatmap supp. fig 6S (right)	Order in heatmap supp. fig 6T (left)	Order in heatmap supp. fig 6T (right)	Differential expression Neuronal IPC -Neuroblast - V2 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V2 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuroblast - V3 chemistry pval	Differential expression Neuronal IPC -Neuroblast - V3 chemistry FDR	Differential expression Neuronal IPC -Neuroblast - V3 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V2 chemistry pval	Differential expression Neuronal IPC -Neuron - V2 chemistry FDR	Differential expression Neuronal IPC -Neuron - V2 chemistry Log2fc	Differential expression Neuronal IPC -Neuron - V3 chemistry pval	Differential expression Neuronal IPC -Neuron - V3 chemistry FDR	Differential expression Neuronal IPC -Neuron- V3 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia- V2 chemistry pval	Differential expression Neuronal IPC -Radial glia - V2 chemistry FDR	Differential expression Neuronal IPC -Radial glia - V2 chemistry Log2fc	Differential expression Neuronal IPC -Radial glia V3 chemistry pval	Differential expression Neuronal IPC -Radial glia - V3 chemistry FDR	Differential expression Neuronal IPC -Radial glia- V3 chemistry Log2fc
IER3	7.16E-51	2.26E-49	1.71E+00	4.99E-02			107	102	8.51E-64	1.19E-63	3.58E-03	2.95E-02	3.13E-02	6.66E-01	1.82E-03	1.89E-03	1.28E+00	2.53E-08	2.75E-08	1.49E+00						
IGSF21	3.53E-50	1.10E-48	3.14E+00	2.39E-02			75	36	7.30E-194	1.57E-193	-9.88E-01	6.32E-256	1.50E-255	-1.70E+00	0.00E+00	0.00E+00	-1.35E+00	0.00E+00	0.00E+00	-1.99E+00						
INA	3.50E-211	9.12E-209	2.55E+00	1.75E-01			38	68	7.42E-237	1.83E-236	-4.06E-01	0.00E+00	0.00E+00	-1.04E+00	5.23E-179	9.13E-179	1.24E-01	0.00E+00	0.00E+00	-1.16E+00						
JARID2	2.03E-146	2.55E-144	1.68E+00	1.88E-01			15	107	2.28E-16	2.60E-16	5.59E-01	1.63E-43	2.14E-43	1.88E-01	3.51E-08	3.75E-08	1.30E+00	3.41E-04	3.54E-04	1.05E+00						
JUP	1.42E-39	3.54E-38	1.91E+00	3.05E-02			32	74	9.25E-129	1.77E-128	-7.87E-01	4.98E-243	1.13E-242	-9.14E-01	1.40E-68	1.88E-68	-8.46E-02	0.00E+00	0.00E+00	-7.80E-01						
KCNQ1OT1	3.28E-70	1.49E-68	1.28E+00	1.19E-01			61	38	1.04E-59	1.40E-59	1.74E-01	4.17E-14	4.87E-14	3.91E-01	2.49E-88	3.54E-88	3.56E-01	8.63E-38	1.05E-37	5.88E-01						
KHDRBS2	4.27E-43	1.16E-41	1.32E+00	5.98E-02			126	99	4.29E-36	5.38E-36	3.58E-01	6.05E-21	7.26E-21	3.39E-01	1.33E-01	1.34E-01	1.34E+00	6.91E-25	8.15E-25	6.99E-01						
KIF21B	2.42E-175	4.33E-173	2.35E+00	1.09E-01			63	66	2.53E-165	5.29E-165	-5.17E-01	0.00E+00	0.00E+00	-9.11E-01	2.00E-222	3.74E-222	-3.71E-01	0.00E+00	0.00E+00	-6.30E-01						
KLF7	2.30E-148	2.94E-146	1.39E+00	2.55E-01			80	39	2.45E-84	3.84E-84	2.89E-01	1.10E-63	1.56E-63	9.88E-02	6.68E-50	8.46E-50	6.95E-01	7.80E-150	1.17E-149	1.08E-01						
KLHL35	1.02E-54	3.57E-53	4.22E+00	3.25E-02			11	95	5.14E-235	1.24E-234	-1.61E+00	0.00E+00	0.00E+00	-2.85E+00	1.26E-89	1.82E-89	-3.93E-01	0.00E+00	0.00E+00	-1.84E+00						
L1CAM	7.47E-143	9.00E-141	3.37E+00	6.24E-02			62	48	0.00E+00	0.00E+00	-1.45E+00	0.00E+00	0.00E+00	-1.80E+00	0.00E+00	0.00E+00	-1.76E+00	0.00E+00	0.00E+00	-2.13E+00						
LAMC1	1.25E-52	4.10E-51	1.99E+00	4.06E-02			65	122	1.94E-28	2.35E-28	-9.53E-02	7.20E-24	8.96E-24	-8.38E-03	1.07E-09	1.16E-09	1.54E+00	6.60E-35	7.92E-35	1.79E+00						
LDOC1	1.17E-51	3.78E-50	1.21E+00	1.14E-01			4	37	3.72E-225	8.57E-225	-1.79E-01	4.35E-298	1.11E-297	-3.97E-01	0.00E+00	0.00E+00	-1.62E-01	0.00E+00	0.00E+00	-2.76E-01						
LHX9	3.03E-244	9.44E-242	2.70E+00	2.10E-01			67	115	3.50E-01	3.58E-01	5.52E-01	8.04E-40	1.04E-39	3.67E-02	0.00E+00	0.00E+00	4.34E+00	0.00E+00	0.00E+00	3.38E+00						
LINC00599	3.27E-52	1.07E-50	1.43E+00	6.76E-02			36	54	1.93E-242	4.83E-242	-7.80E-01	5.78E-276	1.40E-275	-7.73E-01	2.13E-267	4.38E-267	-6.07E-01	0.00E+00	0.00E+00	-1.19E+00						
MAPRE3	1.19E-49	3.70E-48	1.42E+00	6.03E-02			39	16	0.00E+00	0.00E+00	-7.85E-01	0.00E+00	0.00E+00	-8.98E-01	0.00E+00	0.00E+00	-1.12E+00	0.00E+00	0.00E+00	-1.26E+00						
MIAT	2.21E-103	1.55E-101	1.71E+00	1.69E-01			0	71	5.03E-260	1.36E-259	-1.32E-02	0.00E+00	0.00E+00	-9.68E-01	0.00E+00	0.00E+00	1.09E-01	0.00E+00	0.00E+00	-9.70E-01						
MOSPD3	1.21E-104	8.74E-103	1.31E+00	1.98E-01			50	96	5.24E-10	5.65E-10	7.43E-01	1.52E-01	1.55E-01	7.04E-01	1.32E-01	1.34E-01	1.26E+00	4.72E-08	5.05E-08	1.17E+00						
MYT1L	5.72E-100	3.91E-98	2.71E+00	5.65E-02			87	31	0.00E+00	0.00E+00	-2.20E+00	0.00E+00	0.00E+00	-2.56E+00	0.00E+00	0.00E+00	-2.86E+00	0.00E+00	0.00E+00	-3.21E+00						
NDST3	1.24E-81	6.72E-80	2.68E+00	4.48E-02			18	109	8.14E-41	1.04E-40	-3.72E-01	6.28E-20	7.47E-20	-9.04E-02	7.72E-31	8.88E-31	3.06E-01	2.05E-01	2.08E-01	1.02E+00						
NEFM	4.47E-54	1.53E-52	1.97E+00	4.45E-02			7	82	9.70E-288	2.91E-287	-1.60E+00	4.35E-201	8.70E-201	-5.36E-01	7.40E-176	1.28E-175	-8.67E-01	4.33E-246	7.57E-246	-2.74E-01						
